% \datos de entrenamiento, numero de neuronas, error en prueba, aciertos, fallos
40, 5, 0.0, 75, 0
50, 5, 0.0, 75, 0
60, 5, 0.0, 75, 0
70, 5, 0.0, 75, 0
80, 5, 0.0, 75, 0
90, 5, 0.0, 75, 0
100, 5, 0.0, 75, 0
40, 6, 0.0, 60, 0
50, 6, 0.0, 60, 0
60, 6, 0.0, 60, 0
70, 6, 0.0, 60, 0
80, 6, 0.0, 60, 0
90, 6, 0.0, 60, 0
100, 6, 0.0, 60, 0
40, 7, 0.0, 45, 0
50, 7, 0.0, 45, 0
60, 7, 0.0, 45, 0
70, 7, 0.0, 45, 0
80, 7, 0.0, 45, 0
90, 7, 0.0, 45, 0
100, 7, 0.0, 45, 0
40, 8, 0.0, 30, 0
50, 8, 0.0, 30, 0
60, 8, 0.0, 30, 0
70, 8, 0.0, 30, 0
80, 8, 0.0, 30, 0
90, 8, 0.0, 30, 0
100, 8, 0.0, 30, 0
40, 9, 0.0, 15, 0
50, 9, 0.0, 15, 0
60, 9, 0.0, 15, 0
70, 9, 0.0, 15, 0
80, 9, 0.0, 15, 0
90, 9, 0.0, 15, 0
100, 9, 0.0, 15, 0
